Month,Hostels & Guest house,Academic Area,Chiller Plant,Street light,WTP STP WSC SPS CWPS,Shops,Temporary Connections to Construction agencies,Sports Complex,Research park,Total
Jan.21,153626,188357,84975,23515,30806,4700,1020,1749,0,488748
Feb.21,171543,173512,93383,20075,31444,4814,1230,572,0,496573
Mar.21,227701,223428,183439,25479,39941,8350,1081,4284,0,713703
Apr.21,231842,225247,271895,29216,38950,6596,1606,10774,0,816126
Mar.21,179995,218954,288130,28847,34070,6202,924,10471,0,767593
Jun.21,155388,232782,304441,37192,32320,8454,799,18213,0,789589
Jul.21,159405,229896,310180,19454,31508,10720,1235,3694,432,776524
Aug.21,194043,244936,279343,22327,34606,9256,746,14579,17331,817167
Sep.21,192352,232633,264773,21372,28385,9075,565,14394,13367,776916
Oct.21,205555,256650,272034,24502,36286,9608,1194,19287,56927,882043
Nov.21,199254,233495,119507,22054,36597,7885,770,14084,18211,651857
Dec.21,191068,218903,98480,22742,34167,6529,3619,16243,15837,607588
Jan.22,253413,218749,79338,25404,39405,9014,2088,15613,11012,654036
Feb.22,208930,221297,88809,19436,35057,9491,2249,16830,12149,614248
Mar.22,234957,262350,201611,20829,43389,11486,3153,27344,35697,840816
Apr.22,264850,318069,342692,23854,49327,12795,5159,35963,43507,1096216
May.22,208536,270475,372540,18165,47116,11637,4063,37672,45293,1015497
Jun.22,223530,295695,404967,19441,50926,12003,4130,46934,48777,1106403
Jul.22,200012,280106,319790,19261,34793,12069,2226,42436,47885,958578
Aug.22,255891,321176,310868,20981,35390,13061,2094,46177,47623,1053261
Sep.22,275340,318043,372987,23548,42956,14383,1535,62929,56965,1168686
Oct.22,251885,363276,258658,23518,40819,18276.2,2260,66000,48325,1073017
Nov.22,229550,303884,144830,22150,42008,12092.3,713,55756,45981,856964
Dec.22,221179,312639,136168,25848,38248,12536.5,729,45820,36513,829681
