Month,Torrent Power,Solar Power,Total
Jan.21,448691,53492,502183
Feb.21,467671,55250,522921
Mar.21,630868,72111,702979
Apr.21,730380,66687,797067
Mar.21,730590,59496,790086
Jun.21,759570,58152,817722
Jul.21,755641,45676,1317
Aug.21,756658,46142,802800
Sep.21,768321,39108,807429
Oct.21,866211,59193,925404
Nov.21,592639,55470,648109
Dec.21,595060,46258,641318
Jan.22,588770,57827,646597
Feb.22,599590,85689,685279
Mar.22,776650,67652,844302
Apr.22,1074660,51715,1126375
May.22,1012585,51965,1064550
Jun.22,1059300,57952,1117252
Jul.22,951575,42758,994333
Aug.22,1120125,43645,1163770
Sep.22,1143525,53446,1196971
Oct.22,995150,58693,1053843
Nov.22,834550,53070,887620
Dec.22,777275,55804,833079
